TICK=00059 MPC=060 COMMIT           PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10
TICK=00060 MPC=061 FETCH_HEADER     PC=0x00000114 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000110 header=0x0000010A operands=1
TICK=00061 MPC=062 FETCH_OPERAND    PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00015801
TICK=00062 MPC=063 DECODE           PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00063 MPC=064 READ_TARGET      PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #344
TICK=00064 MPC=065 EVALUATE_BRANCH  PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #344
TICK=00065 MPC=066 COMMIT           PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00066 MPC=067 FETCH_HEADER     PC=0x0000011C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000118 header=0x00000208 operands=2
TICK=00067 MPC=068 FETCH_OPERAND    PC=0x00000120 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00068 MPC=069 FETCH_OPERAND    PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000D01
TICK=00069 MPC=070 DECODE           PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13 ; super=blocked:control-or-io
TICK=00070 MPC=071 READ_LEFT        PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #13
TICK=00071 MPC=072 READ_RIGHT       PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #13
TICK=00072 MPC=073 ALU_SUB          PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #13
TICK=00073 MPC=074 UPDATE_FLAGS     PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #13
TICK=00074 MPC=075 COMMIT           PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13
TICK=00075 MPC=076 FETCH_HEADER     PC=0x00000128 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000124 header=0x0000010A operands=1
TICK=00076 MPC=077 FETCH_OPERAND    PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00015801
TICK=00077 MPC=078 DECODE           PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00078 MPC=079 READ_TARGET      PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #344
TICK=00079 MPC=080 EVALUATE_BRANCH  PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #344
TICK=00080 MPC=081 COMMIT           PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00081 MPC=082 FETCH_HEADER     PC=0x00000130 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000012C header=0x00000204 operands=2
TICK=00082 MPC=083 FETCH_OPERAND    PC=0x00000134 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00083 MPC=084 FETCH_OPERAND    PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00003001
TICK=00084 MPC=085 DECODE           PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48 ; super=blocked:data-dependency
TICK=00085 MPC=086 READ_LEFT        PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: SUB R1, #48
TICK=00086 MPC=087 READ_RIGHT       PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: SUB R1, #48
TICK=00087 MPC=088 ALU_SUB          PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: SUB R1, #48
TICK=00088 MPC=089 WRITE_BACK       PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: SUB R1, #48
TICK=00089 MPC=090 UPDATE_FLAGS     PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: SUB R1, #48
TICK=00090 MPC=091 COMMIT           PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48
TICK=00091 MPC=092 FETCH_HEADER     PC=0x0000013C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000138 header=0x00000205 operands=2
TICK=00092 MPC=093 FETCH_OPERAND    PC=0x00000140 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00093 MPC=094 FETCH_OPERAND    PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000A01
TICK=00094 MPC=095 DECODE           PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10 ; super=blocked:data-dependency
TICK=00095 MPC=096 READ_LEFT        PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: MUL R0, #10
TICK=00096 MPC=097 READ_RIGHT       PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: MUL R0, #10
TICK=00097 MPC=098 ALU_MUL          PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ALU_MUL: MUL R0, #10
TICK=00098 MPC=099 WRITE_BACK       PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: MUL R0, #10
TICK=00099 MPC=100 UPDATE_FLAGS     PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: MUL R0, #10
TICK=00100 MPC=101 COMMIT           PC=0x00000144 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10
TICK=00101 MPC=102 FETCH_HEADER     PC=0x00000148 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000144 header=0x00000203 operands=2
TICK=00102 MPC=103 FETCH_OPERAND    PC=0x0000014C SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
