TICK=00069 MPC=070 FETCH_OPERAND    PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00002C01
TICK=00070 MPC=071 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00071 MPC=072 READ_TARGET      PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JMP #44
TICK=00072 MPC=073 EVALUATE_BRANCH  PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JMP #44
TICK=00073 MPC=074 COMMIT           PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00074 MPC=075 FETCH_HEADER     PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214 operands=2
TICK=00075 MPC=076 FETCH_OPERAND    PC=0x00000034 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00076 MPC=077 FETCH_OPERAND    PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000003
TICK=00077 MPC=078 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00078 MPC=079 READ_BYTE_SOURCE PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [R0]
TICK=00079 MPC=080 WRITE_DESTINATION PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=72 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [R0]
TICK=00080 MPC=081 COMMIT           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00081 MPC=082 FETCH_HEADER     PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208 operands=2
TICK=00082 MPC=083 FETCH_OPERAND    PC=0x00000040 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00083 MPC=084 FETCH_OPERAND    PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
TICK=00084 MPC=085 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
